,Target User,Compound Score,Positive Score,Negative Score,Neutral Score,Date & Time
309,FoxNews,0.3182,0.171,0.0,0.829,2018-10-01 21:11:53+00:00
310,FoxNews,-0.5719,0.0,0.346,0.654,2018-10-01 20:57:00+00:00
311,FoxNews,-0.6486,0.0,0.301,0.699,2018-10-01 20:52:57+00:00
312,FoxNews,-0.4215,0.0,0.128,0.872,2018-10-01 20:46:40+00:00
313,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 20:40:00+00:00
314,FoxNews,0.4927,0.189,0.0,0.811,2018-10-01 20:40:00+00:00
315,FoxNews,-0.0516,0.125,0.136,0.739,2018-10-01 20:34:12+00:00
316,FoxNews,0.1027,0.057,0.0,0.943,2018-10-01 20:28:01+00:00
317,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 20:17:33+00:00
318,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 20:00:55+00:00
319,FoxNews,0.296,0.115,0.0,0.885,2018-10-01 19:54:06+00:00
320,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 19:44:12+00:00
321,FoxNews,0.91,0.424,0.0,0.576,2018-10-01 19:41:51+00:00
322,FoxNews,-0.3348,0.202,0.247,0.552,2018-10-01 19:33:26+00:00
323,FoxNews,-0.7506,0.0,0.303,0.697,2018-10-01 19:30:53+00:00
324,FoxNews,0.4404,0.33,0.221,0.449,2018-10-01 19:25:55+00:00
325,FoxNews,-0.1531,0.103,0.128,0.769,2018-10-01 19:22:16+00:00
326,FoxNews,0.8519,0.538,0.0,0.462,2018-10-01 19:17:57+00:00
327,FoxNews,0.8519,0.341,0.0,0.659,2018-10-01 19:06:10+00:00
328,FoxNews,0.8689,0.662,0.0,0.338,2018-10-01 19:03:28+00:00
329,FoxNews,-0.1298,0.085,0.105,0.81,2018-10-01 18:59:57+00:00
330,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 18:52:27+00:00
331,FoxNews,0.5574,0.265,0.0,0.735,2018-10-01 18:42:25+00:00
332,FoxNews,-0.4939,0.0,0.211,0.789,2018-10-01 18:31:14+00:00
333,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 18:26:46+00:00
334,FoxNews,0.2732,0.11,0.0,0.89,2018-10-01 18:25:11+00:00
335,FoxNews,-0.1779,0.077,0.107,0.815,2018-10-01 18:16:58+00:00
336,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 18:12:12+00:00
337,FoxNews,0.4404,0.139,0.0,0.861,2018-10-01 18:10:57+00:00
338,FoxNews,-0.0572,0.0,0.067,0.933,2018-10-01 18:06:58+00:00
339,FoxNews,0.4777,0.186,0.0,0.814,2018-10-01 18:00:11+00:00
340,FoxNews,-0.5106,0.0,0.264,0.736,2018-10-01 17:51:34+00:00
341,FoxNews,0.0,0.0,0.0,1.0,2018-10-01 17:44:14+00:00
342,FoxNews,0.5106,0.216,0.0,0.784,2018-10-01 17:30:00+00:00
343,FoxNews,0.4019,0.153,0.0,0.847,2018-10-01 17:15:00+00:00
